domain,ml_probability,y_true,ai_pred,ai_confidence,ai_risk_level,ai_risk_factors,ai_reasoning,correct
banhen0871.com,0.24810469,1,0,0.85,low,['no_cert'],"The contextual_risk_assessment tool indicates a risk_score of 0.135 with a low ML category (0.25). The primary risk factor is 'no_cert' detected by the tool, indicating the domain lacks a valid SSL certificate. This is a critical security issue as phishing sites often use expired or fake certificate",False
quadient.com,0.20661724,0,0,0.85,low,"['low_ml_safety_cap_applied: False', 'low_ml_safety_cap_before: None', 'low_ml_safety_cap_after: None', 'ml_category: low', 'ml_probability: 0.206617', 'tool_average_risk: 0.13', 'known_domain: is_kno","The contextual_risk_assessment tool indicates a risk_score of 0.1396, which is below the threshold of 0.5. The ml_probability is 0.2066 (low category), and the tool's average risk is 0.13. The domain is known to be seen (is_known_seen: True) but not legitimate (is_known_legit: False). The detected i",True
cdswsw.com,0.1901385,0,0,0.85,medium,"['free_ca', 'no_org', 'free_ca_no_org', 'short', 'random_pattern']","The domain cdswsw.com has a contextual risk score of 0.4417, indicating medium risk. The tool detected multiple issues including free CA certificates, no organizational information, short domain length, and random patterns. While the ML probability is low (0.19), the presence of these non-ML risk fa",True
islandchic77.com,0.18880734,0,0,0.85,low,"['free_ca', 'no_org', 'free_ca_no_org']","The domain islandchic77.com has a contextual risk score of 0.13, which is below the 0.5 threshold. The ML probability is 0.19 (very_low), and the known domain check shows it's not in the whitelist (legit_info: is_legitimate=False). However, the risk score is low enough that it does not meet the thre",True
family-officebell.com,0.16476458,1,0,0.85,low,"['free_ca', 'no_org', 'free_ca_no_org']","The domain family-officebell.com has been flagged as not legitimate by known domain checks (trust_level: none) due to not being in whitelist. The contextual risk assessment shows a risk score of 0.12, which is below the 0.5 threshold. The ML probability is 0.16 (very_low), and there are 3 detected i",False
meaningfulmama.com,0.18752629,0,0,0.85,low,"['free_ca', 'no_org', 'free_ca_no_org']","The contextual_risk_assessment tool indicates a risk_score of 0.131, which is below the 0.5 threshold. The domain is known but not legitimate (label: True, trust_level: 'none'). The detected issues include 'free_ca', 'no_org', and 'free_ca_no_org', which are common in low-risk domains. The ML probab",True
teleclinic.com,0.07454199,0,0,0.92,low,"['free_ca', 'no_org', 'free_ca_no_org']","The contextual_risk_assessment tool indicates a risk_score of 0.0802, which is below the 0.5 threshold. The ml_probability is 0.0745 (very_low), and the tool's average risk is 0.13. The domain is known but not legitimate (label: True, trust_level: 'none'). The detected issues include 'free_ca', 'no_",True
funkyhampers.com,0.07636962,0,0,0.92,low,"['free_ca', 'no_org', 'free_ca_no_org']","The domain funkyhampers.com has been flagged by contextual_risk_assessment with a risk_score of 0.081, indicating low risk. The tool detected three issues: free_ca (free certificate), no_org (no organization), and free_ca_no_org (free certificate with no organization). However, the domain is known i",True
xn--hy1bp4v55dbpc.com,0.19737153,0,0,0.43,medium,"['ml_paradox', 'dv_suspicious_combo', 'free_ca', 'no_org', 'free_ca_no_org', 'random_pattern']","The domain xn--hy1bp4v55dbpc.com has a contextual risk score of 0.43, indicating medium risk. The ML probability is 0.197 (very low), but the presence of a 'ml_paradox' and 'dv_suspicious_combo' issues suggests inconsistency. The domain is known externally but not legitimate (label: True). The risk ",True
solde-ulys.com,0.16623437,1,0,0.85,low,"['free_ca', 'no_org', 'free_ca_no_org']","The domain solde-ulys.com has been flagged by contextual_risk_assessment with a risk_score of 0.1215, indicating low risk. The tool detected three issues: free_ca (free certificate), no_org (no organization information), and free_ca_no_org (free certificate without organization). However, the domain",False
quakelatam.com,0.20395474,1,0,0.85,low,"['free_ca', 'no_org', 'wildcard', 'free_ca_no_org']","The domain quakelatam.com has been flagged by contextual_risk_assessment with a risk_score of 0.3167, indicating low risk. The tool detected multiple issues including free CA, no organization, wildcard, and free CA without organization. However, the domain is known (is_known_seen=True) but not legit",False
nalahouse.com,0.08558581,1,0,0.95,low,"['free_ca', 'no_org', 'free_ca_no_org']","The domain nalahouse.com has a low risk score of 0.0852 from contextual_risk_assessment. The tool detected 3 issues: free_ca, no_org, and free_ca_no_org. However, the domain is known (is_known_seen=True) but not legitimate (is_known_legit=False). The ML probability is 0.0856 (very_low), and the cont",False
